"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"AaB","4-1","Randers FC","9559","Henrik Nystrup Kragh","Energi Nord Arena"
1991-03-16,"OB","1-2","FC Nordsjælland","12422","Michael Johansen","TRE-FOR Park"
1991-03-16,"FC Midtjylland","1-0","AC Horsens","6808","Anders Hermansen","MCH Arena"
1991-03-16,"Lyngby BK","1-2","FC København","6171","Michael Svendsen","Lyngby Stadion"
1991-03-16,"Brøndby IF","3-0","Esbjerg fB","10024","Jakob Kehlet","Brøndby Stadion"
1991-03-16,"Esbjerg fB","0-1","FC Midtjylland","6137","Lars Christoffersen","Blue Water Arena"
1991-03-16,"FC Nordsjælland","3-3","AaB","4702","Michael Tykgaard","Farum Park"
1991-03-16,"SønderjyskE","0-2","OB","3242","Anders Hermansen","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","2-0","Lyngby BK","3876","Nicolai Vollquartz","CASA Arena Horsens"
1991-03-16,"FC København","2-0","Silkeborg IF","18474","Kenn Hansen","Parken"
1991-03-16,"Randers FC","0-4","Brøndby IF","6490","Michael Johansen","AutoC Park Randers"
1991-03-16,"AaB","2-0","FC Midtjylland","8459","Claus Bo Larsen","Energi Nord Arena"
1991-03-16,"Silkeborg IF","2-2","Randers FC","4425","Michael Svendsen","Silkeborg Stadion"
1991-03-16,"FC København","3-0","SønderjyskE","15701","Michael Tykgaard","Parken"
1991-03-16,"Lyngby BK","1-0","FC Nordsjælland","2560","Emil Laursen","Lyngby Stadion"
1991-03-16,"Brøndby IF","0-0","AC Horsens","12224","Peter Rasmussen","Brøndby Stadion"
1991-03-16,"OB","1-0","Esbjerg fB","8108","Henrik Nystrup Kragh","TRE-FOR Park"
1991-03-16,"AaB","2-1","Lyngby BK","11329","Jakob Kehlet","Energi Nord Arena"
1991-03-16,"Randers FC","1-0","AC Horsens","4056","Michael Tykgaard","AutoC Park Randers"
1991-03-16,"Esbjerg fB","2-0","FC Nordsjælland","5846","Kenn Hansen","Blue Water Arena"
1991-03-16,"OB","0-0","Silkeborg IF","8258","Nicolai Vollquartz","TRE-FOR Park"
1991-03-16,"Brøndby IF","1-1","FC København","18113","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"FC Midtjylland","2-1","SønderjyskE","5909","Michael Johansen","MCH Arena"
1991-03-16,"Randers FC","1-2","OB","4281","Jakob Kehlet","AutoC Park Randers"
1991-03-16,"SønderjyskE","1-0","Lyngby BK","2767","Michael Svendsen","Haderslev Fodboldstadion"
1991-03-16,"Esbjerg fB","0-0","AaB","13082","Henning Jensen","Blue Water Arena"
1991-03-16,"FC Nordsjælland","3-2","Silkeborg IF","4103","Anders Hermansen","Farum Park"
1991-03-16,"FC Midtjylland","1-0","Brøndby IF","10410","Peter Rasmussen","MCH Arena"
1991-03-16,"AC Horsens","1-1","FC København","7370","Claus Bo Larsen","CASA Arena Horsens"
1991-03-16,"FC Nordsjælland","2-1","Randers FC","3812","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"OB","3-3","AC Horsens","10787","Henning Jensen","TRE-FOR Park"
1991-03-16,"FC København","5-2","FC Midtjylland","17101","Anders Hermansen","Parken"
1991-03-16,"SønderjyskE","2-1","Esbjerg fB","4863","Michael Tykgaard","Haderslev Fodboldstadion"
1991-03-16,"Silkeborg IF","4-3","AaB","5097","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"Lyngby BK","1-2","Brøndby IF","3266","Michael Johansen","Lyngby Stadion"
1991-03-16,"Brøndby IF","1-1","FC Nordsjælland","11808","Kenn Hansen","Brøndby Stadion"
1991-03-16,"Esbjerg fB","2-1","AC Horsens","8252","Michael Johansen","Blue Water Arena"
1991-03-16,"FC Midtjylland","2-2","Randers FC","6058","Michael Tykgaard","MCH Arena"
1991-03-16,"OB","3-0","FC København","10843","Michael Svendsen","TRE-FOR Park"
1991-03-16,"Silkeborg IF","0-1","Lyngby BK","3620","Lars Christoffersen","Silkeborg Stadion"
1991-03-16,"AaB","1-2","SønderjyskE","11725","Peter Rasmussen","Energi Nord Arena"
1991-03-16,"AC Horsens","1-2","Silkeborg IF","4402","Peter Rasmussen","CASA Arena Horsens"
1991-03-16,"FC København","2-0","AaB","27092","Nicolai Vollquartz","Parken"
1991-03-16,"FC Nordsjælland","0-0","FC Midtjylland","4769","Lars Christoffersen","Farum Park"
1991-03-16,"Lyngby BK","2-0","OB","4758","Anders Hermansen","Lyngby Stadion"
1991-03-16,"Randers FC","2-2","Esbjerg fB","9107","Kenn Hansen","AutoC Park Randers"
1991-03-16,"SønderjyskE","0-2","Brøndby IF","5294","Jakob Kehlet","Haderslev Fodboldstadion"
1991-03-16,"OB","2-0","FC Nordsjælland","6965","Anders Hermansen","TRE-FOR Park"
1991-03-16,"FC Midtjylland","1-2","Silkeborg IF","5370","Lars Christoffersen","MCH Arena"
1991-03-16,"AC Horsens","3-0","HB Køge","2227","Henning Jensen","CASA Arena Horsens"
1991-03-16,"SønderjyskE","0-2","FC København","4992","Kenn Hansen","Haderslev Fodboldstadion"
1991-03-16,"Brøndby IF","2-2","AaB","11868","Claus Bo Larsen","Brøndby Stadion"
1991-03-16,"AGF","2-1","Lyngby BK","12229","Michael Tykgaard","NRGi Park"
1991-03-16,"Silkeborg IF","0-1","Brøndby IF","4173","Jakob Kehlet","Silkeborg Stadion"
1991-03-16,"FC København","2-2","OB","14774","Lars Christoffersen","Parken"
1991-03-16,"FC Nordsjælland","1-1","AC Horsens","2662","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"Lyngby BK","0-1","SønderjyskE","1207","Mads-Kristoffer Kristoffersen","Lyngby Stadion"
1991-03-16,"AaB","2-1","AGF","9737","Michael Svendsen","Energi Nord Arena"
1991-03-16,"HB Køge","2-3","FC Midtjylland","2371","Anders Hermansen","SEAS-NVE Park"
1991-03-16,"AGF","2-2","OB","11312","Henrik Nystrup Kragh","NRGi Park"
1991-03-16,"FC København","2-0","FC Nordsjælland","11076","Jakob Kehlet","Parken"
1991-03-16,"Silkeborg IF","1-1","SønderjyskE","2862","Michael Svendsen","Silkeborg Stadion"
1991-03-16,"Lyngby BK","3-1","HB Køge","2076","Michael Johansen","Lyngby Stadion"
1991-03-16,"Brøndby IF","1-4","AC Horsens","11490","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"AaB","1-0","FC Midtjylland","9313","Kenn Hansen","Energi Nord Arena"
1991-03-16,"SønderjyskE","3-1","AGF","3488","Claus Bo Larsen","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","3-3","AaB","5388","Anders Hermansen","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","2-1","Lyngby BK","5859","Henrik Nystrup Kragh","MCH Arena"
1991-03-16,"HB Køge","2-4","FC København","6538","Jakob Kehlet","SEAS-NVE Park"
1991-03-16,"FC Nordsjælland","2-1","Silkeborg IF","3315","Peter Rasmussen","Farum Park"
1991-03-16,"OB","2-1","Brøndby IF","10695","Michael Svendsen","TRE-FOR Park"
1991-03-16,"AaB","2-1","OB","7893","Henning Jensen","Energi Nord Arena"
1991-03-16,"FC København","2-0","FC Midtjylland","12218","Kenn Hansen","Parken"
1991-03-16,"Lyngby BK","1-1","AC Horsens","1824","Anders Poulsen","Lyngby Stadion"
1991-03-16,"Brøndby IF","2-2","SønderjyskE","10382","Michael Johansen","Brøndby Stadion"
1991-03-16,"FC Nordsjælland","2-0","HB Køge","3339","Michael Tykgaard","Farum Park"
1991-03-16,"Silkeborg IF","1-1","AGF","6401","Lars Christoffersen","Silkeborg Stadion"
1991-03-16,"OB","3-1","Lyngby BK","6611","Jakob Kehlet","TRE-FOR Park"
1991-03-16,"AC Horsens","0-1","FC København","6880","Peter Rasmussen","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","2-1","FC Nordsjælland","6510","Claus Bo Larsen","MCH Arena"
1991-03-16,"HB Køge","3-0","Silkeborg IF","3021","Mads-Kristoffer Kristoffersen","SEAS-NVE Park"
1991-03-16,"AGF","0-0","Brøndby IF","17352","Anders Hermansen","NRGi Park"
1991-03-16,"SønderjyskE","0-0","AaB","4049","Michael Svendsen","Haderslev Fodboldstadion"
1991-03-16,"HB Køge","1-4","AaB","2021","Peter Rasmussen","SEAS-NVE Park"
1991-03-16,"OB","2-4","SønderjyskE","8806","Lars Christoffersen","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","4-0","Lyngby BK","3578","Kenn Hansen","Farum Park"
1991-03-16,"FC København","2-1","Silkeborg IF","11629","Anders Hermansen","Parken"
1991-03-16,"FC Midtjylland","2-1","Brøndby IF","9290","Jakob Kehlet","MCH Arena"
1991-03-16,"AC Horsens","0-3","AGF","6159","Michael Svendsen","CASA Arena Horsens"
1991-03-16,"Lyngby BK","0-1","FC København","4386","Henning Jensen","Lyngby Stadion"
1991-03-16,"Silkeborg IF","1-3","OB","3064","Anders Poulsen","Mascot Park"
1991-03-16,"AaB","1-2","FC Nordsjælland","8852","Michael Johansen","Energi Nord Arena"
1991-03-16,"SønderjyskE","1-3","AC Horsens","3701","Jakob Kehlet","Haderslev Fodboldstadion"
1991-03-16,"Brøndby IF","5-0","HB Køge","15251","Kenn Hansen","Brøndby Stadion"
1991-03-16,"AGF","4-2","FC Midtjylland","8937","Henrik Nystrup Kragh","NRGi Park"
1991-03-16,"HB Køge","0-2","AGF","3003","Henning Jensen","SEAS-NVE Park"
1991-03-16,"FC Midtjylland","2-0","SønderjyskE","7539","Michael Tykgaard","MCH Arena"
1991-03-16,"Lyngby BK","0-2","Silkeborg IF","2098","Lars Christoffersen","Lyngby Stadion"
1991-03-16,"FC Nordsjælland","2-0","Brøndby IF","6479","Michael Svendsen","Farum Park"
1991-03-16,"FC København","2-0","AaB","15245","Claus Bo Larsen","Parken"
1991-03-16,"AC Horsens","4-3","OB","3485","Mads-Kristoffer Kristoffersen","CASA Arena Horsens"
1991-03-16,"Brøndby IF","1-2","FC København","15695","Henning Jensen","Brøndby Stadion"
1991-03-16,"AGF","1-0","FC Nordsjælland","9394","Anders Poulsen","NRGi Park"
1991-03-16,"Silkeborg IF","1-1","AC Horsens","4147","Henrik Nystrup Kragh","Mascot Park"
1991-03-16,"SønderjyskE","0-0","HB Køge","3082","Anders Hermansen","Haderslev Fodboldstadion"
1991-03-16,"OB","1-4","FC Midtjylland","8166","Kenn Hansen","TRE-FOR Park"
1991-03-16,"AaB","1-2","Lyngby BK","7435","Jakob Kehlet","Energi Nord Arena"
1991-03-16,"Silkeborg IF","1-1","AaB","3387","Henning Jensen","Mascot Park"
1991-03-16,"OB","2-1","HB Køge","6172","Michael Tykgaard","TRE-FOR Park"
1991-03-16,"Brøndby IF","1-0","Lyngby BK","13427","Mads-Kristoffer Kristoffersen","Brøndby Stadion"
1991-03-16,"FC Nordsjælland","1-0","SønderjyskE","5229","Michael Johansen","Farum Park"
1991-03-16,"FC København","1-1","AGF","25651","Michael Svendsen","Parken"
1991-03-16,"FC Midtjylland","1-0","AC Horsens","8050","Lars Christoffersen","MCH Arena"
1991-03-16,"FC Nordsjælland","1-0","AaB","3623","Mads-Kristoffer Kristoffersen","Farum Park"
1991-03-16,"Lyngby BK","2-3","Silkeborg IF","1540","Peter Rasmussen","Lyngby Stadion"
1991-03-16,"HB Køge","1-3","SønderjyskE","2479","Jakob Kehlet","SEAS-NVE Park"
1991-03-16,"AGF","0-0","OB","15781","Henning Jensen","NRGi Park"
1991-03-16,"FC Midtjylland","1-0","Brøndby IF","9889","Anders Hermansen","MCH Arena"
1991-03-16,"AC Horsens","2-0","FC København","6587","Claus Bo Larsen","CASA Arena Horsens"
1991-03-16,"Lyngby BK","1-1","AGF","2490","Henrik Nystrup Kragh","Lyngby Stadion"
1991-03-16,"SønderjyskE","1-4","AC Horsens","3089","Kenn Hansen","Haderslev Fodboldstadion"
1991-03-16,"AaB","2-1","OB","7789","Lars Christoffersen","Energi Nord Arena"
1991-03-16,"HB Køge","1-1","FC Midtjylland","2113","Michael Tykgaard","SEAS-NVE Park"
1991-03-16,"Silkeborg IF","2-1","Brøndby IF","4196","Michael Johansen","Mascot Park"
1991-03-16,"FC København","1-3","FC Nordsjælland","16863","Henning Jensen","Parken"
1991-03-16,"AC Horsens","1-1","Silkeborg IF","4780","Peter Rasmussen","CASA Arena Horsens"
1991-03-16,"AGF","2-0","HB Køge","7871","Kenn Hansen","NRGi Park"
1991-03-16,"FC Nordsjælland","0-1","Lyngby BK","6121","Anders Hermansen","Farum Park"
1991-03-16,"Brøndby IF","1-1","AaB","11584","Michael Tykgaard","Brøndby Stadion"
1991-03-16,"OB","1-3","FC København","8228","Emil Laursen","TRE-FOR Park"
1991-03-16,"FC Midtjylland","1-1","SønderjyskE","6509","Claus Bo Larsen","MCH Arena"
1991-03-16,"AaB","2-0","AC Horsens","6285","Henning Jensen","Energi Nord Arena"
1991-03-16,"Silkeborg IF","4-1","FC Midtjylland","4118","Michael Svendsen","Mascot Park"
1991-03-16,"HB Køge","0-2","FC Nordsjælland","2037","Peter Rasmussen","SEAS-NVE Park"
1991-03-16,"FC København","3-0","Lyngby BK","16143","Jakob Kehlet","Parken"
1991-03-16,"OB","0-0","Brøndby IF","7326","Kenn Hansen","TRE-FOR Park"
1991-03-16,"SønderjyskE","1-1","AGF","2664","Henrik Nystrup Kragh","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","0-1","OB","4849","Michael Johansen","CASA Arena Horsens"
1991-03-16,"Brøndby IF","2-1","FC København","10803","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"Lyngby BK","2-2","HB Køge","1343","Anders Poulsen","Lyngby Stadion"
1991-03-16,"FC Nordsjælland","2-0","SønderjyskE","5271","Emil Laursen","Farum Park"
1991-03-16,"FC Midtjylland","1-3","AaB","8559","Anders Hermansen","MCH Arena"
1991-03-16,"AGF","0-2","Silkeborg IF","10389","Claus Bo Larsen","NRGi Park"
1991-03-16,"OB","2-3","FC Midtjylland","4554","Emil Laursen","TRE-FOR Park"
1991-03-16,"Silkeborg IF","1-2","FC Nordsjælland","1915","Mads-Kristoffer Kristoffersen","Mascot Park"
1991-03-16,"SønderjyskE","3-1","Lyngby BK","1410","Peter Rasmussen","Haderslev Fodboldstadion"
1991-03-16,"FC København","2-1","HB Køge","7653","Michael Tykgaard","Parken"
1991-03-16,"AaB","0-2","AGF","6288","Kenn Hansen","Energi Nord Arena"
1991-03-16,"Brøndby IF","0-1","AC Horsens","10010","Henning Jensen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","4-2","AaB","2609","Jakob Kehlet","Mascot Park"
1991-03-16,"FC Nordsjælland","0-0","FC Midtjylland","5032","Michael Tykgaard","Farum Park"
1991-03-16,"HB Køge","1-1","Brøndby IF","3821","Anders Hermansen","SEAS-NVE Park"
1991-03-16,"Lyngby BK","1-2","AC Horsens","1059","Michael Svendsen","Lyngby Stadion"
1991-03-16,"FC København","0-0","AGF","11690","Michael Johansen","Parken"
1991-03-16,"SønderjyskE","0-4","OB","2084","Henrik Nystrup Kragh","Haderslev Fodboldstadion"
1991-03-16,"AGF","1-1","FC Nordsjælland","11470","Claus Bo Larsen","NRGi Park"
1991-03-16,"FC Midtjylland","1-2","Lyngby BK","7040","Jakob Kehlet","MCH Arena"
1991-03-16,"Brøndby IF","1-0","SønderjyskE","14076","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"AC Horsens","2-1","HB Køge","3710","Henrik Nystrup Kragh","CASA Arena Horsens"
1991-03-16,"AaB","1-1","FC København","9297","Michael Johansen","Aalborg Stadion"
1991-03-16,"OB","2-2","Silkeborg IF","5642","Michael Tykgaard","TRE-FOR Park"
1991-03-16,"OB","0-1","FC Nordsjælland","7738","Anders Hermansen","TRE-FOR Park"
1991-03-16,"AaB","1-0","Lyngby BK","6648","Michael Svendsen","Aalborg Stadion"
1991-03-16,"Silkeborg IF","0-1","HB Køge","2740","Henning Jensen","Mascot Park"
1991-03-16,"FC København","2-0","SønderjyskE","24151","Mads-Kristoffer Kristoffersen","Parken"
1991-03-16,"Brøndby IF","0-0","AGF","14804","Kenn Hansen","Brøndby Stadion"
1991-03-16,"FC Midtjylland","4-1","AC Horsens","6690","Peter Rasmussen","MCH Arena"
1991-03-16,"AGF","1-3","AC Horsens","10245","Anders Poulsen","NRGi Park"
1991-03-16,"Lyngby BK","1-0","OB","3651","Michael Johansen","Lyngby Stadion"
1991-03-16,"FC Nordsjælland","1-2","Brøndby IF","8039","Peter Rasmussen","Farum Park"
1991-03-16,"SønderjyskE","2-4","Silkeborg IF","1944","Jakob Kehlet","Haderslev Fodboldstadion"
1991-03-16,"FC København","0-0","FC Midtjylland","14440","Michael Tykgaard","Parken"
1991-03-16,"HB Køge","1-1","AaB","2459","Lars Christoffersen","SEAS-NVE Park"
1991-03-16,"AaB","1-2","SønderjyskE","6228","Anders Hermansen","Nordjyske Arena"
1991-03-16,"OB","2-4","HB Køge","5303","Kenn Hansen","TRE-FOR Park"
1991-03-16,"AC Horsens","0-2","FC Nordsjælland","4677","Michael Svendsen","CASA Arena Horsens"
1991-03-16,"Silkeborg IF","0-0","FC København","6107","Claus Bo Larsen","Mascot Park"
1991-03-16,"Brøndby IF","2-1","Lyngby BK","15122","Mads-Kristoffer Kristoffersen","Brøndby Stadion"
1991-03-16,"FC Midtjylland","0-2","AGF","8555","Henrik Nystrup Kragh","MCH Arena"
1991-03-16,"AC Horsens","1-0","AaB","3705","Mads-Kristoffer Kristoffersen","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","2-2","Silkeborg IF","5770","Anders Poulsen","MCH Arena"
1991-03-16,"FC Nordsjælland","2-0","HB Køge","5201","Jakob Kehlet","Farum Park"
1991-03-16,"Lyngby BK","1-3","FC København","4268","Lars Christoffersen","Lyngby Stadion"
1991-03-16,"Brøndby IF","1-0","OB","15571","Henning Jensen","Brøndby Stadion"
1991-03-16,"AGF","1-3","SønderjyskE","9306","Michael Tykgaard","NRGi Park"
1991-03-16,"AaB","1-2","FC Midtjylland","6281","Kenn Hansen","Nordjyske Arena"
1991-03-16,"SønderjyskE","1-0","FC Nordsjælland","3593","Mads-Kristoffer Kristoffersen","Haderslev Fodboldstadion"
1991-03-16,"HB Køge","1-4","Lyngby BK","2419","Anders Poulsen","SEAS-NVE Park"
1991-03-16,"Silkeborg IF","2-1","AGF","6480","Emil Laursen","Mascot Park"
1991-03-16,"FC København","3-1","Brøndby IF","22165","Jakob Kehlet","Parken"
1991-03-16,"OB","0-1","AC Horsens","5292","Lars Christoffersen","TRE-FOR Park"
1991-03-16,"AaB","3-1","Silkeborg IF","4587","Michael Tykgaard","Nordjyske Arena"
1991-03-16,"FC Midtjylland","1-1","FC Nordsjælland","5797","Anders Hermansen","MCH Arena"
1991-03-16,"OB","1-1","SønderjyskE","5521","Henrik Nystrup Kragh","TRE-FOR Park"
1991-03-16,"Brøndby IF","1-1","HB Køge","11203","Claus Bo Larsen","Brøndby Stadion"
1991-03-16,"AC Horsens","0-0","Lyngby BK","3807","Michael Johansen","CASA Arena Horsens"
1991-03-16,"AGF","0-0","FC København","10591","Peter Rasmussen","NRGi Park"
1991-03-16,"FC Midtjylland","2-0","OB","6090","Michael Svendsen","MCH Arena"
1991-03-16,"FC Nordsjælland","2-1","Silkeborg IF","6103","Anders Poulsen","Farum Park"
1991-03-16,"Lyngby BK","0-4","SønderjyskE","2784","Emil Laursen","Lyngby Stadion"
1991-03-16,"HB Køge","0-5","FC København","5407","Anders Hermansen","SEAS-NVE Park"
1991-03-16,"AC Horsens","2-0","Brøndby IF","7145","Michael Tykgaard","CASA Arena Horsens"
1991-03-16,"AGF","1-1","AaB","7762","Henning Jensen","NRGi Park"
1991-03-16,"AaB","0-2","FC Nordsjælland","6220","Jakob Kehlet","Nordjyske Arena"
1991-03-16,"Silkeborg IF","3-0","Lyngby BK","3171","Lars Christoffersen","Mascot Park"
1991-03-16,"FC København","2-1","AC Horsens","12568","Kenn Hansen","Parken"
1991-03-16,"SønderjyskE","2-1","HB Køge","2698","Michael Svendsen","Haderslev Fodboldstadion"
1991-03-16,"Brøndby IF","0-2","FC Midtjylland","10450","Michael Johansen","Brøndby Stadion"
1991-03-16,"OB","1-2","AGF","8539","Mads-Kristoffer Kristoffersen","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","5-3","AGF","5713","Michael Johansen","Farum Park"
1991-03-16,"Lyngby BK","1-2","FC Midtjylland","1356","Henrik Nystrup Kragh","Lyngby Stadion"
1991-03-16,"HB Køge","2-1","AC Horsens","1803","Jakob Kehlet","SEAS-NVE Park"
1991-03-16,"SønderjyskE","3-3","Brøndby IF","4792","Peter Rasmussen","Haderslev Fodboldstadion"
1991-03-16,"FC København","3-0","AaB","13598","Anders Poulsen","Parken"
1991-03-16,"Silkeborg IF","1-1","OB","3755","Henning Jensen","Mascot Park"
1991-03-16,"AGF","2-1","Lyngby BK","7302","Anders Hermansen","NRGi Park"
1991-03-16,"FC Nordsjælland","1-0","FC København","9943","Michael Tykgaard","Farum Park"
1991-03-16,"AC Horsens","5-0","SønderjyskE","3288","Claus Bo Larsen","CASA Arena Horsens"
1991-03-16,"FC Midtjylland","2-1","HB Køge","8361","Kenn Hansen","MCH Arena"
1991-03-16,"Brøndby IF","3-2","Silkeborg IF","9096","Michael Svendsen","Brøndby Stadion"
1991-03-16,"OB","1-2","AaB","10820","Emil Laursen","TRE-FOR Park"
1991-03-16,"Lyngby BK","0-2","FC Nordsjælland","1297","Lars Christoffersen","Lyngby Stadion"
1991-03-16,"HB Køge","1-3","AGF","2471","Peter Rasmussen","SEAS-NVE Park"
1991-03-16,"Silkeborg IF","0-1","AC Horsens","4203","Anders Hermansen","Mascot Park"
1991-03-16,"AaB","1-0","Brøndby IF","8534","Mads-Kristoffer Kristoffersen","Nordjyske Arena"
1991-03-16,"FC København","1-1","OB","14343","Kenn Hansen","Parken"
1991-03-16,"SønderjyskE","1-1","FC Midtjylland","2549","Anders Poulsen","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","2-1","FC Midtjylland","4869","Henrik Nystrup Kragh","CASA Arena Horsens"
1991-03-16,"Lyngby BK","3-2","AaB","1375","Michael Johansen","Lyngby Stadion"
1991-03-16,"SønderjyskE","2-2","FC København","4806","Peter Rasmussen","Haderslev Fodboldstadion"
1991-03-16,"HB Køge","1-3","Silkeborg IF","2103","Anders Poulsen","SEAS-NVE Park"
1991-03-16,"AGF","5-1","Brøndby IF","14086","Lars Christoffersen","NRGi Park"
1991-03-16,"FC Nordsjælland","0-0","OB","8677","Jakob Kehlet","Farum Park"
1991-03-16,"FC Midtjylland","1-0","FC København","10289","Jakob Kehlet","MCH Arena"
1991-03-16,"Silkeborg IF","1-1","SønderjyskE","3962","Michael Johansen","Mascot Park"
1991-03-16,"AC Horsens","3-1","AGF","9064","Michael Svendsen","CASA Arena Horsens"
1991-03-16,"Brøndby IF","0-1","FC Nordsjælland","13375","Kenn Hansen","Brøndby Stadion"
1991-03-16,"AaB","1-0","HB Køge","6710","Claus Bo Larsen","Nordjyske Arena"
1991-03-16,"OB","4-0","Lyngby BK","12173","Henrik Nystrup Kragh","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","3-0","AC Horsens","10300","Claus Bo Larsen","Farum Park"
1991-03-16,"Lyngby BK","1-0","Brøndby IF","1988","Henning Jensen","Lyngby Stadion"
1991-03-16,"SønderjyskE","5-0","AaB","3645","Lars Christoffersen","Haderslev Fodboldstadion"
1991-03-16,"HB Køge","1-1","OB","1164","Kenn Hansen","SEAS-NVE Park"
1991-03-16,"FC København","2-1","Silkeborg IF","19974","Anders Hermansen","Parken"
1991-03-16,"AGF","0-2","FC Midtjylland","12139","Michael Tykgaard","NRGi Park"
1991-03-16,"AGF","1-1","AaB","9728","Michael Svendsen","NRGi Park"
1991-03-16,"SønderjyskE","6-1","Randers FC","2995","Claus Bo Larsen","Haderslev Fodboldstadion"
1991-03-16,"Esbjerg fB","2-3","Silkeborg IF","6226","Michael Johansen","Blue Water Arena"
1991-03-16,"Brøndby IF","0-1","OB","9102","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"FC København","4-2","FC Midtjylland","10806","Jakob Kehlet","Parken"
1991-03-16,"AC Horsens","0-4","FC Nordsjælland","3180","Henning Jensen","CASA Arena Horsens"
1991-03-16,"Silkeborg IF","0-2","AC Horsens","3166","Anders Poulsen","Mascot Park"
1991-03-16,"FC Midtjylland","3-1","FC Nordsjælland","4315","Peter Rasmussen","MCH Arena"
1991-03-16,"OB","0-1","Randers FC","7123","Mads-Kristoffer Kristoffersen","TRE-FOR Park"
1991-03-16,"SønderjyskE","1-1","FC København","6575","Michael Tykgaard","Haderslev Fodboldstadion"
1991-03-16,"AaB","2-1","Brøndby IF","7895","Claus Bo Larsen","Nordjyske Arena"
1991-03-16,"AGF","0-0","Esbjerg fB","7323","Jens Maae","NRGi Park"
1991-03-16,"AC Horsens","2-2","FC Midtjylland","3579","Kenn Hansen","CASA Arena Horsens"
1991-03-16,"FC København","3-0","AaB","9571","Henrik Nystrup Kragh","Parken"
1991-03-16,"Esbjerg fB","1-2","SønderjyskE","5345","Michael Svendsen","Blue Water Arena"
1991-03-16,"Randers FC","2-1","AGF","6595","Lars Christoffersen","AutoC Park Randers"
1991-03-16,"FC Nordsjælland","1-1","OB","5736","Michael Johansen","Farum Park"
1991-03-16,"Brøndby IF","2-1","Silkeborg IF","9586","Jakob Kehlet","Brøndby Stadion"
1991-03-16,"Silkeborg IF","0-1","OB","3025","Michael Tykgaard","Mascot Park"
1991-03-16,"AaB","1-1","FC Nordsjælland","4783","Kenn Hansen","Nordjyske Arena"
1991-03-16,"Esbjerg fB","1-2","FC København","6507","Peter Rasmussen","Blue Water Arena"
1991-03-16,"FC Midtjylland","2-1","Randers FC","5324","Mads-Kristoffer Kristoffersen","MCH Arena"
1991-03-16,"AGF","3-1","Brøndby IF","8908","Henning Jensen","NRGi Park"
1991-03-16,"SønderjyskE","0-2","AC Horsens","4033","Jakob Kehlet","Haderslev Fodboldstadion"
1991-03-16,"OB","2-1","FC Midtjylland","8785","Lars Christoffersen","TRE-FOR Park"
1991-03-16,"FC Nordsjælland","6-1","Silkeborg IF","5013","Peter Rasmussen","Farum Park"
1991-03-16,"AC Horsens","1-4","AaB","3532","Anders Poulsen","CASA Arena Horsens"
1991-03-16,"Brøndby IF","0-1","SønderjyskE","7667","Henrik Nystrup Kragh","Brøndby Stadion"
1991-03-16,"FC København","3-0","AGF","11196","Michael Johansen","Parken"
1991-03-16,"Randers FC","1-0","Esbjerg fB","4523","Michael Tykgaard","AutoC Park Randers"
1991-03-16,"AaB","3-0","FC Midtjylland","6578","Michael Svendsen","Nordjyske Arena"
1991-03-16,"Silkeborg IF","0-1","Randers FC","2319","Jens Maae","Mascot Park"
1991-03-16,"FC København","1-1","Brøndby IF","16489","Kenn Hansen","Parken"
1991-03-16,"Esbjerg fB","0-0","AC Horsens","4763","Claus Bo Larsen","Blue Water Arena"
1991-03-16,"AGF","0-1","FC Nordsjælland","9107","Michael Tykgaard","NRGi Park"
1991-03-16,"SønderjyskE","1-2","OB","3638","Henning Jensen","Haderslev Fodboldstadion"
1991-03-16,"FC Nordsjælland","4-1","SønderjyskE","6121","Anders Poulsen","Farum Park"
1991-03-16,"Randers FC","2-3","FC København","6112","Michael Svendsen","AutoC Park Randers"
1991-03-16,"FC Midtjylland","1-1","Silkeborg IF","5143","Jakob Kehlet","MCH Arena"
1991-03-16,"OB","0-4","AaB","9575","Michael Johansen","TRE-FOR Park"
1991-03-16,"Brøndby IF","1-1","Esbjerg fB","8888","Peter Rasmussen","Brøndby Stadion"
1991-03-16,"AC Horsens","1-4","AGF","4079","Mads-Kristoffer Kristoffersen","CASA Arena Horsens"
